original_node_id,mapped_node_index,PC1,PC2,PC3,cluster_label,role,pagerank,betweenness_centrality,hits_authority,hits_hub,participation_coefficient,I_popularity,I_authority,I_hub,I_bridge,I_local,I_engagement,I_hidden
0,0,-3.318391586831097,0.7024660113715046,-0.5046166250487,1,Global Influencer,-0.45144981220104874,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,0.19230002981486294,-1.2122698743622862,-4.0863553356705555,-0.9132230035628081,0.06332202503128004,-0.8799150743181954,-0.07192360801976894
1,1,-3.0363985597699874,2.1793511845415567,0.40646902924972167,1,Global Influencer,1.2478967013257944,-0.3238916997238868,-0.05970486330691599,-0.0611568936671584,-0.6625565064327426,3.108765555234855,0.48707663916455723,-4.0863553356705555,-0.9132230035628081,1.2453679965327753,-0.5088930645964118,0.6173104042390797
2,2,-2.779311252502201,1.9471200127943664,0.04066534996865867,1,Global Influencer,-0.07196035555932769,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,1.6853409646379423,0.6526331391741833,-4.0863553356705555,-0.9132230035628081,0.9909952894227938,-0.6124605983082024,-0.04266548681553772
3,3,1.157766931826197,2.6137418792972316,-0.4263798703126401,5,Hidden / Niche Influencer,1.170011488805404,-0.01762538267273685,-0.05970486330691644,-0.06115689366715827,0.9360973748970911,3.9801342763386582,1.894604983538915,0.5903183627714552,0.9916971948181755,3.102736267681241,1.462295017812417,1.498079293390619
4,4,1.2627008552213976,1.2182524547663491,0.6203655508652371,5,Hidden / Niche Influencer,-0.095638158477957,-0.315633619290517,-0.05970486330691689,-0.0611568936671585,-0.6625565064327426,1.74512631390618,0.6289553362555533,1.8990314889149713,-0.9049649231294382,3.223629827384022,1.5256312097437652,0.49041397540634135
5,5,1.0131050279728733,1.402138113199143,-0.448888451739413,5,Hidden / Niche Influencer,-0.31731698138589365,-0.3128809922730754,-0.05970486330691638,-0.06115689366715953,0.9360973748970911,1.4425157511076574,0.4072765133476172,2.147987438951111,0.696441585217837,2.6300959376000406,2.0166212726807804,1.0105395747098214
6,6,-3.1837352749154415,1.6024820886798075,-0.4001745693705379,1,Global Influencer,1.450236668982351,-0.3238916997238868,-0.05970486330691583,-0.0611568936671584,-0.6625565064327426,2.2890438522921452,0.6894166068211137,-4.0863553356705555,-0.9132230035628081,0.28027218782817287,-0.6848577330243127,0.1377041099210272
7,7,-0.6554133186088121,1.6489853357968127,-0.630114432307234,5,Hidden / Niche Influencer,-0.08615446588694083,-0.32022140483029204,-0.059704863306916385,-0.06115689366715844,1.2321443899581714,1.6106403705966532,0.63843902884657,-0.46808903156546106,0.9851481877217007,0.9304888057091181,0.6690357052571565,0.35498967388656244
8,8,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.1470300132288183
9,9,-0.8581088269697227,0.7882335180815896,-0.5145038972750289,5,Hidden / Niche Influencer,-0.22881199719215828,-0.32022140483029204,-0.05970486330691649,-0.0611568936671584,-0.6625565064327426,0.3917461365351753,0.4957814975413525,-0.4017043782298835,-0.9095527086692133,1.0247869141071786,0.5052806580078388,0.413575732071922
10,10,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.1113923942073405
