source,target,score
0,12,1.107872075037003
2,8273,0.926603922286329
4,188,2.0867218552269065
8,17,7.7846543491166065
9,1055,0.933851476159717
11,14739,1.1443036142159821
12,6661,0.9902399452921016
13,0,2.1366253313248915
14,221,1.9283620519015428
17,7830,0.9582241007604727
19,63,4.137040858723576
23,204,4.762324507900348
23,737,1.0940952990775337
23,1713,1.058486632394358
23,1889,5.026744501195623
23,9489,1.3722155110215088
24,37,11.302616981603274
24,332,3.78265400619019
25,60,1.1224226452243657
25,264,8.522454852020907
26,183,11.674826992208098
27,3315,0.9297252568361298
28,3115,2.2393844250849915
30,223,1.7797635237645575
30,5865,1.978882094305269
33,2065,1.1022995313051844
33,2117,1.4945235079652173
33,2770,0.9285228047164994
33,5201,2.8253077120256904
33,6260,1.187078709415407
35,1992,1.0088916331125168
36,0,2.1366253313248915
37,18,6.349897246669121
37,332,2.5363379728725803
39,280,1.564105377893819
39,3074,2.15077329466902
39,11845,0.9350417045625664
40,0,2.1366253313248915
45,78,2.037786538337875
45,360,3.9880246549814684
45,433,13.077511744334517
45,1612,3.072393858682813
45,2770,1.1314192795274247
45,7100,4.142079311937447
46,41,2.5353117886842065
47,8515,1.00442882222107
47,18162,1.3998813956201266
48,2721,3.1972800336166545
51,293,3.584391375704943
51,1717,2.342278100199816
51,3026,1.7079659057677066
53,14178,0.8840096693215209
54,0,2.1366253313248915
54,3829,2.1918408296320053
54,4674,1.5894678928483073
55,115,1.5179702990682773
56,51,3.5482273872898724
56,115,1.8032275382871144
56,1038,1.414867108649515
56,1354,4.228963060775708
57,115,1.4742254450862233
57,1047,1.2807813637126526
61,6551,0.8107486969721306
65,2246,2.7611826602367175
66,1005,4.63197723109835
66,11804,1.00442882222107
68,10887,2.768756494916813
68,14574,1.8554697123583899
69,2046,3.752988980798185
71,0,2.1366253313248915
72,2180,1.0927076635809447
72,2256,0.8915064642270301
72,4624,1.349903296832562
72,6094,1.0145364097259677
72,7464,1.223161872386905
72,8292,1.349903296832562
72,8294,1.4542590398400317
72,8356,0.8121075388608977
73,1081,1.530866065256702
73,1661,2.3569629261444494
73,8340,0.902596751138951
73,11010,1.1323337669669589
73,11329,0.8608022497307566
77,5777,11.402118120380017
82,1674,1.5124493107503265
82,3858,1.1610755240383717
83,8476,1.6055253368599696
83,8525,1.7059483273430507
88,285,7.8441973673441945
90,69,4.825868236782764
90,2046,2.5725473666698515
93,9463,1.0650920216800026
94,3873,1.938222921310741
94,8116,1.5063927007433215
95,596,4.964231276936012
95,737,1.4959149698632033
95,1176,1.8549314357061015
102,0,2.1366253313248915
102,8239,6.702483622320452
103,123,0.9110162168383065
105,59,5.529332062469306
106,59,5.26212185818466
107,38,17.949855300119214
111,904,0.9785958609807742
111,1383,0.8463326165242187
111,1454,1.1050773612273357
111,3723,1.1050773612273357
111,4237,0.9945553514619854
112,15702,1.0134014952850499
113,8912,2.231187853484294
114,23,1.0066543975089461
114,132,1.2292991179330013
114,413,0.8352804585078236
114,719,0.8470804266396831
114,973,1.2357968750522692
114,5852,1.3208460402828324
115,1029,1.6988749945840145
117,7,1.205649838975535
117,674,2.7935174673665952
117,3834,1.5932892903498082
117,4931,1.2321542775229544
118,486,1.5867292266506454
119,1944,1.3710858981431104
120,414,0.8100711848360902
121,234,0.9239304565619689
122,851,2.2601584295531865
122,2442,1.933183315310708
122,3264,1.0123504913096548
122,7652,2.191698797831739
122,7653,0.8504704841416669
124,5761,1.223161872386905
125,2054,13.015692456932022
127,2056,1.0145364097259677
127,2060,0.9484038909224769
127,2695,1.0390850606998898
127,12025,0.9285228047164994
128,4689,1.708648757804226
130,12302,4.658732983751567
131,125,1.2897367583252701
131,1465,2.291766141057435
131,2054,1.2267394714490358
131,2060,1.4150299097289891
134,132,1.0470709074849656
134,8043,0.8729063343132127
136,1660,2.3965251136411223
136,16364,2.1825425838007018
138,141,17.214260974029802
138,148,5.413984555953727
138,153,1.1323337669669589
138,166,0.9331683561054493
138,168,0.8231652191881226
139,78,10.971954138628766
140,12823,1.205649838975535
141,138,12.747896850604201
141,1440,1.0806648777658368
141,4651,5.809495817759456
141,8332,0.8121075388608977
141,11815,1.0806648777658368
142,138,3.4171674699964156
142,162,4.113950907510217
142,3847,1.9829214047482604
142,10887,1.9822826659837727
142,11815,0.8766556420516389
142,13660,2.57323572263282
142,14024,2.573101106945506
143,8329,19.81921386605905
143,8530,1.282402754919798
143,15008,0.9166908562760824
144,153,0.9095808958338708
144,13659,1.00442882222107
144,16783,0.9542677021968009
146,13619,0.966252925102003
147,138,1.003531836330503
147,148,0.9650949196456903
147,1398,2.2828424387021333
147,1535,1.2678646730398355
147,9109,1.0179592414781644
147,10633,1.2450202469662888
147,11386,1.938572488788174
148,141,0.8554063715377487
148,168,1.2339722772675348
148,1440,2.1366253313248915
148,8332,1.6588256315878456
148,11028,1.2339722772675348
148,11848,1.0689348516128883
148,12824,1.0689348516128883
